2026-02-25 19:35:51,382 | WARNING | computefabric_node | torch_not_available
2026-02-25 19:35:52,988 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:35:55,384 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:35:55,574 | WARNING | computefabric_node | ollama_list_failed
2026-02-25 19:35:55,625 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:36:03,179 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:36:13,412 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:36:23,525 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:36:33,611 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:36:43,676 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:36:54,296 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:37:04,483 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:37:14,616 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:37:24,752 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:37:35,101 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:37:45,289 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:37:55,557 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:38:05,629 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:38:15,760 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:38:25,922 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:38:36,047 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:38:46,334 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:38:56,397 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:39:06,493 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:39:16,571 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:39:26,753 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:39:36,832 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:39:46,908 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:39:57,129 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:40:07,229 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:40:17,414 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:40:27,549 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:40:37,675 | WARNING | computefabric_node | gpu_vram_query_failed
2026-02-25 19:40:47,824 | WARNING | computefabric_node | gpu_vram_query_failed
